method,items_number,index,binsize,time,success,runtime
solve_cpp_backtracking,501,5,1000,0.042250031000548915,True,0.04288965500018094
solve_cpp_backtracking,501,6,1000,0.03629742900011479,True,0.03663324900026055
solve_cpp_backtracking,501,7,1000,0.039908042999741156,True,0.04022274499948253
solve_cpp_backtracking,501,8,1000,0.04115377899961459,True,0.04149993400005769
solve_cpp_backtracking,501,9,1000,0.04318070700082899,True,0.04363406999982544
solve_cpp_backtracking,501,10,1000,0.03926819299977069,True,0.04102889000023424
solve_cpp_backtracking,501,11,1000,0.08558000499942864,True,0.08601030800036824
solve_cpp_backtracking,501,12,1000,0.03504744399924675,True,0.035339610999471915
solve_cpp_backtracking,501,13,1000,0.04675614499956282,True,0.04733671899975889
solve_cpp_backtracking,501,14,1000,0.04522998400079814,True,0.04554957599975751
solve_cpp_backtracking,501,15,1000,0.04166163600075379,True,0.04212312199979351
solve_cpp_backtracking,501,16,1000,0.04264823500034254,True,0.042959984000845
solve_cpp_backtracking,501,17,1000,0.041165034999721684,True,0.041480414000034216
solve_cpp_backtracking,501,18,1000,0.03730115200050932,True,0.03789430000051652
solve_cpp_backtracking,501,19,1000,8.055108586999268,True,8.055439586999455
solve_py_backtracking,60,0,1000,0.035242877999735356,True,0.03536087300017243
solve_py_backtracking,60,1,1000,0.03237024999998539,True,0.03247716100031539
solve_py_backtracking,60,2,1000,0.0010929999998552375,True,0.0011934029998883489
solve_py_backtracking,60,3,1000,0.02549034000003303,True,0.025820494000072358
solve_py_backtracking,60,4,1000,0.03195738100021117,True,0.032071221000478545
solve_py_backtracking,60,5,1000,0.03136928300045838,True,0.03147579200049222
solve_py_backtracking,60,6,1000,0.013219921000199975,True,0.013326889999916602
solve_py_backtracking,60,7,1000,0.01813112599938904,True,0.01834381100070459
solve_py_backtracking,60,8,1000,0.003519986999890534,True,0.0036484679994828184
solve_py_backtracking,60,9,1000,0.004595683999468747,True,0.004705168000327831
solve_py_backtracking,60,10,1000,0.0028793849996873178,True,0.0029900469999120105
solve_py_backtracking,60,11,1000,0.002037326000390749,True,0.00214905600023485
solve_py_backtracking,60,12,1000,0.016705880000699835,True,0.016795279999314516
solve_py_backtracking,60,13,1000,0.0035434310002528946,True,0.0037591359996440588
solve_py_backtracking,60,14,1000,0.011274598999989394,True,0.011369199000000663
solve_py_backtracking,60,15,1000,0.006421322999813128,True,0.006750214000021515
solve_py_backtracking,60,16,1000,0.001764756999364181,True,0.0018604320002850727
solve_py_backtracking,60,17,1000,0.0027191789995413274,True,0.0028298670004005544
solve_py_backtracking,60,18,1000,0.02616584600036731,True,0.02623968700027035
solve_py_backtracking,60,19,1000,0.0029586410000774777,True,0.0030469149996861233
solve_py_backtracking,120,0,1000,0.10379278900018107,True,0.10390500399989833
solve_py_backtracking,120,1,1000,0.030101659999672847,True,0.03021838599943294
solve_py_backtracking,120,2,1000,0.023317621999922267,True,0.023457745000087016
solve_py_backtracking,120,3,1000,0.06195522800044273,True,0.06207424199965317
solve_py_backtracking,120,4,1000,0.02622399400024733,True,0.026377821000096446
solve_py_backtracking,120,5,1000,0.0388317900005859,True,0.03897241800041229
solve_py_backtracking,120,6,1000,0.03241800000068906,True,0.03273809699931007
solve_py_backtracking,120,7,1000,0.017977471999984118,True,0.01810587399995711
solve_py_backtracking,120,8,1000,0.05208841399962694,True,0.05221458200048801
solve_py_backtracking,120,9,1000,0.04701585300063016,True,0.04713133899986133
solve_py_backtracking,120,10,1000,0.03995468100038124,True,0.040064290999907826
solve_py_backtracking,120,11,1000,0.017420162999769673,True,0.01756394000040018
solve_py_backtracking,120,12,1000,0.026968420000230253,True,0.027076821999798995
solve_py_backtracking,120,13,1000,0.11395627100046113,True,0.11406806700051675
solve_py_backtracking,120,14,1000,0.014529455000229063,True,0.01463358899945888
solve_py_backtracking,120,15,1000,0.03767932099981408,True,0.03779120899980626
solve_py_backtracking,120,16,1000,0.01858198799982347,True,0.018699256000218156
solve_py_backtracking,120,17,1000,0.030853428000227723,True,0.030970989999332232
solve_py_backtracking,120,18,1000,0.01610278499993001,True,0.01646808100031194
solve_py_backtracking,120,19,1000,0.1600382990000071,True,0.1601581900004021
solve_py_backtracking,249,0,1000,0.08639266800037149,True,0.08655447800083493
solve_py_backtracking,249,1,1000,0.09096296799998527,True,0.09109605899993767
solve_py_backtracking,249,2,1000,0.10363485899961233,True,0.1037745769999674
solve_py_backtracking,249,3,1000,0.09137483700033044,True,0.09160992199940665
solve_py_backtracking,249,4,1000,0.09304660599991621,True,0.09328785899924696
solve_py_backtracking,249,5,1000,0.12990223899942066,True,0.13004367299981823
solve_py_backtracking,249,6,1000,0.09214609999980894,True,0.09226108200073213
solve_py_backtracking,249,7,1000,0.08921733999977732,True,0.08934168300038436
solve_py_backtracking,249,8,1000,0.11678066799959197,True,0.11693560999992769
solve_py_backtracking,249,9,1000,0.10559305500009941,True,0.1058225010001479
solve_py_backtracking,249,10,1000,0.08517509100056486,True,0.08529281600021932
solve_py_backtracking,249,11,1000,0.08986357200046768,True,0.09000027000001865
solve_py_backtracking,249,12,1000,0.08469746699938696,True,0.084824476999529
solve_py_backtracking,249,13,1000,0.11263449899979605,True,0.11277141399932589
solve_py_backtracking,249,14,1000,0.14291396899989195,True,0.14320566799960943
solve_py_backtracking,249,15,1000,0.08914631399966311,True,0.08927258200037613
solve_py_backtracking,249,16,1000,0.08837591600058659,True,0.08854422900003556
solve_py_backtracking,249,17,1000,0.1343869550000818,True,0.13454185600039636
solve_py_backtracking,249,18,1000,0.08671065099952102,True,0.08684705899941036
solve_py_backtracking,249,19,1000,0.08056978799959325,True,0.08069440300005226
solve_py_backtracking,501,0,1000,0.3876156529995569,True,0.38779271400017024
solve_py_backtracking,501,1,1000,0.3836249770001814,True,0.3838281119997191
solve_py_backtracking,501,2,1000,0.40914221399998496,True,0.4093436040002416
solve_py_backtracking,501,3,1000,0.4954874959994413,True,0.495876283999678
solve_py_backtracking,501,4,1000,0.552306581999801,True,0.5525720290006575
solve_py_backtracking,501,5,1000,0.8103951079992839,True,0.8107888490003461
solve_py_backtracking,501,6,1000,0.9124801440002557,True,0.9128646419994766
solve_py_backtracking,501,7,1000,0.6596498769995378,True,0.6599277440000151
solve_py_backtracking,501,8,1000,0.5240240299999641,True,0.5242794770001638
solve_py_backtracking,501,9,1000,0.5237158319996524,True,0.5239396409997426
solve_py_backtracking,501,10,1000,0.4655873089996021,True,0.4658198409997567
solve_py_backtracking,501,11,1000,0.4782962099998258,True,0.4785169010001482
solve_py_backtracking,501,12,1000,0.3740659360000791,True,0.3743345290004072
solve_py_backtracking,501,13,1000,0.4261348049994922,True,0.4270974329992896
solve_py_backtracking,501,14,1000,0.5961423569997351,True,0.5963816699995732
solve_py_backtracking,501,15,1000,0.5572202099992865,True,0.5574880399999529
solve_py_backtracking,501,16,1000,0.55038100999991,True,0.5510757090005427
solve_py_backtracking,501,17,1000,0.45810774199981097,True,0.45831952999924397
solve_py_backtracking,501,18,1000,0.3906687049993707,True,0.3908782970001994
solve_py_backtracking,501,19,1000,0.39940187000047445,True,0.3996072780000759
solve_cpp_localsearch,60,0,1000,0.0035195099999327795,True,0.004472235999855911
solve_cpp_localsearch,60,1,1000,0.0011346689998390502,True,0.0012826550000681891
solve_cpp_localsearch,60,2,1000,0.0005357520003599348,True,0.0006956779998290585
solve_cpp_localsearch,60,3,1000,0.0007976499991855235,True,0.0010792510001920164
solve_cpp_localsearch,60,4,1000,0.0012515870002971496,True,0.0014797580006415956
solve_cpp_localsearch,60,5,1000,0.0009114439999393653,True,0.0011075109996454557
solve_cpp_localsearch,60,6,1000,0.0013446439998006099,True,0.0014695119998577866
solve_cpp_localsearch,60,7,1000,0.003314876999866101,True,0.003480045000287646
solve_cpp_localsearch,60,8,1000,0.000735716999770375,True,0.0008782140002949745
solve_cpp_localsearch,60,9,1000,0.0009882259992082254,True,0.0016172589994312148
solve_cpp_localsearch,60,10,1000,0.0009774449999895296,True,0.0011562950003281003
solve_cpp_localsearch,60,11,1000,0.0005060940002294956,True,0.0006809460001022671
solve_cpp_localsearch,60,12,1000,0.0034387840005365433,True,0.003617059000134759
solve_cpp_localsearch,60,13,1000,0.0007947599997351062,True,0.0009502530001554987
solve_cpp_localsearch,60,14,1000,0.0019172029997207574,True,0.002074490999802947
solve_cpp_localsearch,60,15,1000,0.0014402420001715655,True,0.004209724000247661
solve_cpp_localsearch,60,16,1000,0.0007421620002787677,True,0.000941387999773724
solve_cpp_localsearch,60,17,1000,0.0008250029995906516,True,0.001260287999684806
solve_cpp_localsearch,60,18,1000,0.003172928999447322,True,0.003319489000205067
solve_cpp_localsearch,60,19,1000,0.001822066999920935,True,0.002117279000231065
solve_cpp_localsearch,120,0,1000,0.002830161999554548,True,0.0030115829995338572
solve_cpp_localsearch,120,1,1000,0.0028209769998284173,True,0.0034862960001191823
solve_cpp_localsearch,120,2,1000,0.006918030999258917,True,0.007144627999878139
solve_cpp_localsearch,120,3,1000,0.00937767100003839,True,0.009909472999424906
solve_cpp_localsearch,120,4,1000,0.003118313000413764,True,0.0033312790001218673
solve_cpp_localsearch,120,5,1000,0.004184444999737025,True,0.004403908000313095
solve_cpp_localsearch,120,6,1000,0.025884929999847373,True,0.03078114900017681
solve_cpp_localsearch,120,7,1000,0.0060919210000065505,True,0.006871395999951346
solve_cpp_localsearch,120,8,1000,0.00943966199974966,True,0.00979284799996094
solve_cpp_localsearch,120,9,1000,0.01171283400071843,True,0.012233978999574902
solve_cpp_localsearch,120,10,1000,0.012391490999107191,True,0.013047460999587202
solve_cpp_localsearch,120,11,1000,0.014462078000178735,True,0.014737073999640415
solve_cpp_localsearch,120,12,1000,0.004829272000279161,True,0.005085335999865492
solve_cpp_localsearch,120,13,1000,0.008029066999370116,True,0.008263844999419234
solve_cpp_localsearch,120,14,1000,0.011502834000566509,True,0.01184696400014218
solve_cpp_localsearch,120,15,1000,0.005820704000143451,True,0.006089431999498629
solve_cpp_localsearch,120,16,1000,0.007057105000058073,True,0.0072816460005924455
solve_cpp_localsearch,120,17,1000,0.0035027310004807077,True,0.004272805000255175
solve_cpp_localsearch,120,18,1000,0.008882807999725628,True,0.009206157000335224
solve_cpp_localsearch,120,19,1000,0.008052605000557378,True,0.008299571999486943
solve_cpp_localsearch,249,0,1000,0.028597692000403185,True,0.028903264999826206
solve_cpp_localsearch,249,1,1000,0.022686511000756582,True,0.023964285000147356
solve_cpp_localsearch,249,2,1000,0.04393936599990411,True,0.04438352400029544
